,,year,rnd,ovl,phase,player name,draft team,pos,bonus,signed,hilvl,mlbyears,stat years,source,school,dr reg,pos,ht,wt,ba,th,Born,place
21,,2017,2,58,June-Reg,Jacob Gonzalez,San Francisco Giants,3b,0.95,Yes,AA,--,2017-2023,HS,"Chaparral (Scottsdale,AZ)",AZ,1b,6-3,190,R,R,1998-06-26,"Scottsdale,AZ"
22,,2017,2,59,June-Reg,Mark Vientos,New York Mets,3b,1.50,Yes,MLB,2022-2023,2017-2023,HS,"American Heritage (Plantation,FL)",FL,3b-1b,6-4,185,R,R,1999-12-11,"Norwalk,CT"
23,,2017,2,60,June-Reg,Adam Hall,Baltimore Orioles,ss,1.30,Yes,AAA,--,2017-2022,HS,"A.B. Lucas (London,ON)",ON,rf-cf,5-11,165,R,R,1999-05-22,"Hamilton,ON"
24,,2017,2,61,June-Reg,Hagen Danner,Toronto Blue Jays,c,0.15,Yes,AAA,--,2017-2023,HS,"Huntington Beach (Huntington Beach,CA)",CA,p,6-1,215,R,R,1998-09-30,"Newport Beach,CA"
25,,2017,2,62,June-Reg,Morgan Cooper,Los Angeles Dodgers,p,0.87,Yes,A+,--,2014-2021,College,Texas,TX,p,6-5,207,R,R,1994-09-12,"Austin,TX"
26,,2017,2,63,June-Reg,Cole Brannen,Boston Red Sox,of,1.30,Yes,A+,--,2017-2022,HS,"Westfield School (Perry,GA)",GA,rf-cf,6-0,170,L,R,1998-08-04,"Macon,GA"
27,,2017,2,64,June-Reg,Quentin Holmes,Cleveland Baseball Team,of,0.99,Yes,AA,--,2017-2022,HS,"McClancy Memorial (Flushing,NY)",NY,lf-rf,6-2,195,R,R,1999-07-07,"Queens,NY"
28,,2017,2,65,June-Reg,Wil Crowe,Washington Nationals,p,0.95,Yes,MLB,2020-2023,2014-2023,College,South Carolina,SC,p,6-2,228,R,R,1994-09-09,"Sevierville,TN"
29,,2017,2,66,June-Reg,Hans Crouse,Texas Rangers,p,1.45,Yes,MLB,2021-2021,2017-2023,HS,"Dana Hills (Dana Point,CA)",CA,p,6-4,180,L,R,1998-09-15,"Dana Point,CA"
30,,2017,2,67,June-Reg,Cory Abbott,Chicago Cubs,p,0.90,Yes,MLB,2021-2023,2015-2023,College,Loyola Marymount,CA,p,6-1,210,R,R,1995-09-20,"San Diego,CA"
31,,2017,2,68,June-Reg,Daulton Varsho,Arizona Diamondbacks,c,0.88,Yes,MLB,2020-2023,2015-2023,College,Milwaukee,WI,rf-cf,5-10,207,L,R,1996-07-02,"Chili,WI"
32,,2017,2,69,June-Reg,Blake Hunt,San Diego Padres,c,0.16,Yes,AA,--,2017-2023,HS,"Mater Dei (Santa Ana,CA)",CA,c,6-3,215,R,R,1998-11-10,"Costa Mesa,CA"
33,,2017,2,70,June-Reg,Tommy Doyle,Colorado Rockies,p,0.84,Yes,MLB,2020-2020,2015-2023,College,Virginia,VA,p,6-6,244,R,R,1996-05-01,"Vienna,VA"
